iter	Passed	Remaining
0	0	15
1	0	14
2	0	13
3	0	13
4	0	12
5	0	12
6	0	12
7	1	12
8	1	11
9	1	11
10	1	11
11	1	11
12	1	10
13	1	10
14	1	10
15	2	10
16	2	10
17	2	10
18	2	10
19	2	10
20	2	10
21	2	9
22	2	9
23	3	9
24	3	9
25	3	9
26	3	9
27	3	9
28	4	10
29	4	10
30	5	11
31	5	11
32	5	11
33	5	10
34	5	10
35	5	10
36	5	10
37	6	9
38	6	9
39	6	9
40	6	9
41	6	9
42	6	8
43	6	8
44	6	8
45	7	8
46	7	8
47	7	7
48	7	7
49	7	7
50	7	7
51	7	7
52	7	7
53	8	6
54	8	6
55	8	6
56	8	6
57	8	6
58	8	6
59	8	5
60	8	5
61	9	5
62	9	5
63	9	5
64	9	5
65	9	4
66	9	4
67	9	4
68	9	4
69	10	4
70	10	4
71	10	4
72	10	3
73	10	3
74	10	3
75	10	3
76	10	3
77	11	3
78	11	2
79	11	2
80	11	2
81	11	2
82	11	2
83	11	2
84	12	2
85	12	1
86	12	1
87	12	1
88	12	1
89	12	1
90	12	1
91	12	1
92	13	0
93	13	0
94	13	0
95	13	0
96	13	0
97	13	0
98	13	0
99	13	0
