iter	Passed	Remaining
0	7	7653
1	12	6314
2	16	5629
3	20	5174
4	24	4848
5	28	4711
6	31	4539
7	35	4435
8	39	4329
9	43	4265
10	46	4173
11	49	4112
12	53	4088
13	57	4050
14	60	3998
15	64	3955
16	67	3926
17	71	3887
18	74	3857
19	78	3868
20	82	3833
21	86	3838
22	89	3807
23	93	3797
24	96	3770
25	100	3746
26	103	3744
27	108	3754
28	111	3735
29	114	3713
30	118	3695
31	121	3678
32	125	3664
33	128	3654
34	131	3638
35	135	3625
36	139	3618
37	142	3618
38	146	3607
39	149	3599
40	153	3581
41	156	3577
42	160	3563
43	163	3558
44	167	3553
45	170	3542
46	174	3536
47	177	3527
48	181	3521
49	185	3524
50	188	3513
51	192	3514
52	196	3508
53	200	3506
54	203	3499
55	207	3501
56	211	3494
57	214	3487
58	218	3486
59	222	3482
60	226	3485
61	230	3484
62	234	3481
63	238	3480
64	241	3480
65	245	3473
66	249	3471
67	252	3465
68	256	3456
69	259	3453
70	263	3451
71	267	3446
72	271	3445
73	274	3440
74	278	3437
75	282	3431
76	286	3429
77	290	3428
78	293	3421
79	297	3416
80	301	3415
81	304	3408
82	308	3407
83	312	3403
84	316	3403
85	319	3400
86	324	3401
87	327	3392
88	331	3389
89	335	3387
90	339	3387
91	342	3382
92	346	3375
93	350	3373
94	354	3373
95	359	3382
96	362	3374
97	366	3372
98	369	3367
99	376	3389
100	380	3391
101	384	3388
102	389	3389
103	393	3388
104	396	3383
105	401	3382
106	405	3381
107	409	3386
108	413	3380
109	418	3383
110	422	3384
111	425	3376
112	429	3369
113	433	3365
114	436	3361
115	441	3365
116	444	3358
117	448	3354
118	452	3350
119	457	3352
120	460	3347
121	464	3344
122	469	3344
123	474	3349
124	477	3344
125	481	3343
126	486	3341
127	490	3342
128	494	3337
129	498	3333
130	501	3328
131	507	3335
132	511	3333
133	515	3334
134	519	3329
135	523	3324
136	526	3318
137	530	3314
138	534	3310
139	538	3309
140	542	3305
141	546	3303
142	551	3303
143	556	3307
144	560	3303
145	564	3304
146	569	3302
147	573	3301
148	577	3299
149	581	3296
150	585	3293
151	590	3293
152	594	3289
153	598	3286
154	602	3282
155	606	3282
156	610	3276
157	614	3272
158	618	3271
159	625	3281
160	629	3281
161	634	3282
162	638	3280
163	642	3275
164	646	3272
165	649	3265
166	653	3261
167	657	3254
168	660	3248
169	664	3244
170	668	3240
171	672	3235
172	675	3230
173	679	3227
174	683	3223
175	687	3220
176	691	3216
177	695	3212
178	699	3206
179	703	3203
180	706	3198
181	711	3197
182	715	3192
183	719	3189
184	722	3184
185	726	3179
186	730	3177
187	734	3173
188	738	3169
189	742	3165
190	746	3161
191	750	3157
192	754	3153
193	758	3149
194	761	3145
195	766	3143
196	769	3138
197	773	3132
198	776	3127
199	781	3126
200	784	3119
201	788	3113
202	791	3107
203	795	3103
204	798	3096
205	802	3094
206	805	3087
207	809	3083
208	813	3077
209	816	3072
210	821	3070
211	825	3068
212	829	3065
213	832	3059
214	838	3060
215	843	3060
216	847	3056
217	851	3053
218	856	3054
219	862	3056
220	866	3053
221	871	3053
222	875	3049
223	880	3051
224	884	3047
225	888	3044
226	892	3039
227	896	3034
228	899	3029
229	904	3028
230	908	3023
231	912	3020
232	915	3015
233	921	3014
234	924	3009
235	928	3006
236	932	3001
237	936	2998
238	940	2993
239	943	2988
240	947	2983
241	951	2980
242	955	2977
243	959	2971
244	963	2967
245	966	2963
246	970	2959
247	974	2954
248	981	2961
249	987	2962
250	991	2959
251	995	2955
252	999	2950
253	1003	2948
254	1007	2943
255	1011	2939
256	1014	2933
257	1019	2931
258	1023	2926
259	1026	2921
260	1030	2917
261	1035	2915
262	1038	2909
263	1041	2904
264	1045	2899
265	1049	2896
266	1053	2892
267	1057	2887
268	1061	2883
269	1064	2879
270	1069	2876
271	1073	2871
272	1076	2867
273	1080	2862
274	1084	2859
275	1088	2855
276	1092	2850
277	1096	2847
278	1100	2844
279	1104	2839
280	1107	2834
281	1111	2830
282	1115	2826
283	1120	2824
284	1124	2820
285	1128	2816
286	1131	2811
287	1135	2807
288	1139	2802
289	1142	2796
290	1146	2792
291	1150	2789
292	1153	2784
293	1157	2779
294	1161	2775
295	1166	2773
296	1169	2768
297	1173	2764
298	1177	2760
299	1181	2757
300	1186	2754
301	1189	2749
302	1193	2746
303	1197	2742
304	1201	2738
305	1205	2733
306	1208	2728
307	1212	2724
308	1217	2721
309	1220	2716
310	1224	2712
311	1227	2707
312	1232	2705
313	1236	2700
314	1240	2696
315	1243	2692
316	1247	2688
317	1251	2684
318	1255	2679
319	1258	2674
320	1262	2670
321	1267	2668
322	1270	2663
323	1274	2659
324	1278	2655
325	1284	2654
326	1287	2649
327	1291	2646
328	1295	2641
329	1299	2638
330	1303	2635
331	1307	2630
332	1310	2625
333	1315	2622
334	1318	2617
335	1322	2612
336	1326	2608
337	1330	2605
338	1334	2602
339	1338	2598
340	1342	2593
341	1345	2588
342	1352	2591
343	1387	2644
344	1398	2655
345	1402	2650
346	1406	2645
347	1410	2641
348	1414	2639
349	1418	2634
350	1422	2630
351	1426	2625
352	1430	2621
353	1433	2615
354	1437	2611
